start_time,end_time,score
02:36.96,02:37.53,PERFECT
02:37.53,02:38.11,GOOD
02:38.11,02:39.10,GOOD
02:39.10,02:40.44,OK
02:40.44,02:41.84,GOOD
02:41.84,02:42.82,PERFECT
02:42.82,02:43.73,PERFECT
02:43.73,02:44.70,PERFECT
02:44.70,02:46.18,X
02:46.18,02:47.05,OK
02:47.05,02:48.05,OK
02:48.05,02:48.78,X
02:48.78,02:49.28,X
02:49.28,02:49.76,X
02:49.76,02:50.20,OK
02:50.20,02:50.71,OK
02:50.71,02:51.22,PERFECT
02:51.22,02:51.64,GOOD
02:51.64,02:52.77,PERFECT
02:52.77,02:53.83,OK
02:53.83,02:54.80,GOOD
02:54.80,02:56.44,GOOD
02:56.44,02:56.89,GOOD
02:56.89,02:57.45,OK
02:57.45,02:57.95,OK
02:57.95,02:58.40,OK
02:58.40,02:58.86,GOOD
02:58.86,02:59.34,OK
02:59.34,02:59.83,OK
02:59.83,03:00.80,OK
03:00.80,03:02.74,X
03:02.74,03:04.87,YEAH
