start_time,end_time,score
01:06.81,01:08.86,PERFECT
01:08.86,01:10.85,OK
01:10.85,01:11.42,GOOD
01:11.42,01:11.88,PERFECT
01:11.88,01:12.54,PERFECT
01:12.54,01:12.98,PERFECT
01:12.98,01:13.52,PERFECT
01:13.52,01:14.23,PERFECT
01:14.23,01:14.73,OK
01:14.73,01:15.20,PERFECT
01:15.20,01:15.91,PERFECT
01:15.91,01:16.39,PERFECT
01:16.39,01:16.85,PERFECT
01:16.85,01:17.82,PERFECT
01:17.82,01:18.79,GOOD
01:18.79,01:19.26,X
01:19.26,01:19.74,GOOD
01:19.74,01:20.20,OK
01:20.20,01:20.69,OK
01:20.69,01:21.21,PERFECT
01:21.21,01:22.13,PERFECT
01:22.13,01:22.64,GOOD
01:22.64,01:23.12,GOOD
01:23.12,01:23.87,PERFECT
01:23.87,01:24.54,PERFECT
01:24.54,01:24.91,PERFECT
01:24.91,01:25.97,PERFECT
01:25.97,01:26.47,GOOD
01:26.47,01:26.95,PERFECT
01:26.95,01:27.45,GOOD
01:27.45,01:27.91,GOOD
01:27.91,01:28.40,OK
01:28.40,01:28.87,OK
01:28.87,01:29.80,PERFECT
01:29.80,01:30.32,OK
01:30.32,01:30.77,PERFECT
01:30.77,01:31.87,PERFECT
01:31.87,01:33.21,OK
01:33.21,01:34.61,PERFECT
01:34.61,01:35.63,PERFECT
01:35.63,01:36.55,PERFECT
01:36.55,01:37.61,PERFECT
01:37.61,01:39.00,OK
01:39.00,01:39.89,PERFECT
01:39.89,01:40.49,PERFECT
01:49.49,01:41.60,OK
01:41.60,01:42.03,GOOD
01:42.03,01:42.53,PERFECT
01:42.53,01:42.95,PERFECT
01:42.95,01:43.50,PERFECT
01:43.50,01:44.00,PERFECT
01:44.00,01:44.48,GOOD
01:44.48,01:45.54,PERFECT
01:45.54,01:46.60,OK
01:46.60,01:47.62,PERFECT
01:47.62,01:50.35,PERFECT
01:50.35,01:51.30,PERFECT
01:51.30,01:52.43,PERFECT
01:52.43,01:53.82,PERFECT
01:53.82,01:54.80,GOOD
01:54.80,01:55.83,PERFECT
01:55.83,01:57.84,X
01:57.84,01:58.91,PERFECT
01:58.91,01:59.86,PERFECT
01:59.86,02:02.07,PERFECT
02:02.07,02:02.90,PERFECT
02:02.90,02:03.94,PERFECT
02:03.94,02:05.87,PERFECT
02:05.87,02:06.84,PERFECT
02:06.84,02:07.72,PERFECT
02:07.72,02:08.69,PERFECT
02:08.69,02:09.69,PERFECT
02:09.69,02:10.64,PERFECT
02:10.64,02:11.56,PERFECT
02:11.56,02:11.97,PERFECT
02:11.97,02:12.59,PERFECT
02:12.59,02:12.98,PERFECT
02:12.98,02:13.51,PERFECT
02:13.51,02:14.06,PERFECT
02:14.06,02:14.46,GOOD
02:14.46,02:14.91,PERFECT
02:14.91,02:15.46,GOOD
02:15.46,02:15.87,PERFECT
02:15.87,02:16.61,GOOD
02:16.61,02:17.10,GOOD
02:17.10,02:17.58,GOOD
02:17.58,02:17.95,GOOD
02:17.95,02:18.56,PERFECT
02:18.56,02:18.99,PERFECT
02:18.99,02:19.54,PERFECT
02:19.54,02:19.99,PERFECT
02:19.99,02:20.45,PERFECT
02:20.45,02:20.96,PERFECT
02:20.96,02:21.86,PERFECT
02:21.86,02:23.54,YEAH
02:23.54,02:25.99,OK
02:25.99,02:26.45,GOOD
02:26.45,02:26.93,OK
02:26.93,02:27.46,GOOD
02:27.46,02:27.92,GOOD
02:27.92,02:28.38,GOOD
02:28.38,02:29.35,PERFECT
02:29.35,02:29.84,X
02:29.84,02:30.31,GOOD
02:30.31,02:31.25,PERFECT
02:31.25,02:31.76,PERFECT
02:31.76,02:32.21,PERFECT
02:32.21,02:33.15,PERFECT
02:33.15,02:33.70,X
02:33.70,02:34.20,OK
02:34.20,02:34.65,OK
02:34.65,02:35.13,PERFECT
02:35.13,02:35.55,GOOD
02:35.55,02:35.96,GOOD
02:35.96,02:37.07,PERFECT
02:37.07,02:37.53,OK
02:37.53,02:38.11,PERFECT
02:38.11,02:39.10,PERFECT
02:39.10,02:40.44,PERFECT
02:40.44,02:41.84,PERFECT
02:41.84,02:42.82,PERFECT
02:42.82,02:43.73,PERFECT
02:43.73,02:44.70,PERFECT
02:44.70,02:46.18,GOOD
02:46.18,02:47.05,GOOD
02:47.05,02:48.05,GOOD
02:48.05,02:48.78,OK
02:48.78,02:49.28,PERFECT
02:49.28,02:49.76,OK
02:49.76,02:50.20,PERFECT
02:50.20,02:50.71,GOOD
02:50.71,02:51.22,PERFECT
02:51.22,02:51.64,GOOD
02:51.64,02:52.77,PERFECT
02:52.77,02:53.83,GOOD
02:53.83,02:54.80,PERFECT
02:54.80,02:56.44,OK
02:56.44,02:56.89,PERFECT
02:56.89,02:57.45,PERFECT
02:57.45,02:57.95,PERFECT
02:57.95,02:58.40,GOOD
02:58.40,02:58.86,GOOD
02:58.86,02:59.34,PERFECT
02:59.34,02:59.83,GOOD
02:59.83,03:00.80,PERFECT
03:00.80,03:02.74,X
03:02.74,03:04.87,YEAH
