start_time,end_time,score
00:06.36,00:07.52,X
00:07.52,00:07.93,GOOD
00:07.93,00:08.48,PERFECT
00:08.48,00:09.51,PERFECT
00:09.51,00:10.80,X
00:10.80,00:11.30,GOOD
00:11.30,00:11.86,PERFECT
00:11.86,00:12.31,PERFECT
00:12.31,00:13.30,PERFECT
00:13.30,00:14.73,X
00:14.73,00:15.27,OK
00:15.27,00:15.66,PERFECT
00:15.66,00:16.18,PERFECT
00:16.18,00:16.60,GOOD
00:16.60,00:17.16,PERFECT
00:17.16,00:17.65,PERFECT
00:17.65,00:18.02,GOOD
00:18.02,00:18.56,PERFECT
00:18.56,00:18.98,PERFECT
00:18.98,00:19.52,PERFECT
00:19.52,00:20.58,GOOD
00:20.58,00:22.46,OK
00:22.46,00:24.17,X
00:24.17,00:24.95,OK
00:24.95,00:25.49,PERFECT
00:25.49,00:26.04,PERFECT
00:26.04,00:26.47,GOOD
00:26.47,00:26.97,GOOD
00:26.97,00:27.44,PERFECT
00:27.44,00:28.39,PERFECT
00:28.39,00:28.95,OK
00:28.95,00:29.34,PERFECT
00:29.34,00:30.30,PERFECT
00:30.30,00:30.91,PERFECT
00:30.91,00:31.29,PERFECT
00:31.29,00:32.20,PERFECT
00:32.20,00:32.72,X
00:32.72,00:33.23,GOOD
00:33.23,00:33.69,GOOD
00:33.69,00:34.20,PERFECT
00:34.20,00:34.62,OK
00:34.62,00:35.26,GOOD
00:35.26,00:36.04,PERFECT
00:36.04,00:36.56,GOOD
00:36.56,00:37.13,PERFECT
00:37.13,00:38.00,PERFECT
00:38.00,00:39.53,PERFECT
00:39.53,00:40.85,GOOD
00:40.85,00:41.82,PERFECT
00:41.82,00:42.82,PERFECT
00:42.82,00:43.80,PERFECT
00:43.80,00:45.15,OK
00:45.28,00:46.14,GOOD
00:46.14,00:47.14,GOOD
00:47.14,00:47.83,OK
00:47.83,00:48.29,GOOD
00:48.29,00:48.75,GOOD
00:48.75,00:49.32,PERFECT
00:49.32,00:49.75,PERFECT
00:49.75,00:50.28,PERFECT
00:50.28,00:50.70,GOOD
00:50.70,00:51.78,GOOD
00:51.78,00:52.89,GOOD
00:52.89,00:53.75,PERFECT
00:53.75,00:55.20,X
00:55.20,00:55.77,OK
00:55.77,00:56.71,PERFECT
00:56.71,00:57.67,GOOD
00:57.67,00:58.20,PERFECT
00:58.20,00:58.98,PERFECT
00:58.98,00:59.58,X
00:59.58,01:00.03,OK
01:00.03,01:01.07,PERFECT
01:01.07,01:01.51,PERFECT
01:01.51,01:01.95,PERFECT
01:01.95,01:02.83,PERFECT
01:02.83,01:03.40,X
01:03.40,01:03.91,PERFECT
01:03.91,01:04.90,PERFECT
01:04.90,01:05.35,PERFECT
01:05.35,01:05.89,PERFECT
01:05.89,01:06.81,PERFECT
