start_time,end_time,score
02:40.22,02:40.68,PERFECT
02:40.68,02:41.17,X
02:41.17,02:41.70,X
02:41.70,02:41.85,PERFECT
02:41.85,02:42.57,X
02:42.57,02:43.05,X
02:43.05,02:43.51,PERFECT
02:43.51,02:43.97,PERFECT
02:43.97,02:44.50,PERFECT
02:44.50,02:44.96,GOOD
02:44.96,02:45.44,PERFECT
02:45.44,02:45.82,PERFECT
02:45.82,02:46.18,PERFECT
02:46.18,02:46.84,GOOD
02:46.84,02:47.22,PERFECT
02:47.22,02:47.71,PERFECT
02:47.71,02:48.65,GOOD
02:48.65,02:49.13,X
02:49.13,02:49.59,X
02:49.59,02:50.31,OK
02:50.31,02:51.70,YEAH
02:51.70,02:52.40,OK
02:52.40,02:53.30,GOOD
02:53.30,02:54.28,PERFECT
02:54.28,02:55.29,PERFECT
02:55.29,02:55.71,PERFECT
02:55.71,02:56.12,OK
02:56.12,02:56.66,GOOD
02:56.66,02:57.13,PERFECT
02:57.13,02:57.59,PERFECT
02:57.59,02:58.02,PERFECT
02:58.02,02:58.50,GOOD
02:58.50,02:59.06,GOOD
02:59.06,02:59.92,PERFECT
02:59.92,03:00.86,PERFECT
03:00.86,03:01.80,PERFECT
03:01.80,03:02.65,PERFECT
03:02.65,03:03.51,GOOD
03:03.51,03:03.99,PERFECT
03:03.99,03:04.44,PERFECT
03:04.44,03:05.32,PERFECT
03:05.32,03:06.62,OK
03:06.62,03:07.42,X
03:07.42,03:08.25,OK
03:08.25,03:09.42,GOOD
03:09.42,03:10.20,PERFECT
03:10.20,03:10.69,GOOD
03:10.69,03:11.13,X
03:11.13,03:11.70,OK
03:11.70,03:12.09,OK
03:12.09,03:12.60,GOOD
03:12.60,03:13.03,GOOD
03:13.03,03:13.53,GOOD
03:13.53,03:13.99,GOOD
03:13.99,03:14.83,GOOD
03:14.83,03:15.77,PERFECT
03:15.77,03:16.76,PERFECT
03:16.76,03:17.69,PERFECT
03:17.69,03:18.13,PERFECT
03:18.13,03:19.31,GOOD
03:19.31,03:21.80,PERFECT
03:21.80,03:23.71,GOOD
03:23.71,03:26.15,YEAH
