start_time,end_time,score
02:56.51,02:56.94,GOOD
02:56.94,02:57.44,GOOD
02:57.44,02:58.53,GOOD
02:58.53,02:59.54,OK
02:59.54,03:00.59,GOOD
03:00.59,03:01.28,GOOD
03:01.28,03:02.38,X
03:02.38,03:03.17,OK
03:03.17,03:04.20,X
03:04.20,03:06.00,GOOD
03:06.00,03:06.48,GOOD
03:06.48,03:06.94,PERFECT
03:06.94,03:07.40,PERFECT
03:07.40,03:08.45,PERFECT
03:08.45,03:09.07,GOOD
03:09.07,03:10.07,X
03:10.07,03:11.03,OK
03:11.03,03:12.06,OK
03:12.06,03:13.68,PERFECT
03:13.68,03:14.07,PERFECT
03:14.07,03:14.61,PERFECT
03:14.61,03:15.06,PERFECT
03:15.06,03:15.73,PERFECT
03:15.73,03:16.27,X
03:16.27,03:16.73,OK
03:16.73,03:17.81,PERFECT
03:17.81,03:18.68,GOOD
03:18.68,03:19.55,PERFECT
03:19.55,03:20.04,X
03:20.04,03:20.53,OK
03:20.53,03:21.60,X
03:21.60,03:22.48,PERFECT
03:22.48,03:23.44,PERFECT
03:23.44,03:24.91,GOOD
03:24.91,03:25.76,OK
03:25.76,03:26.30,PERFECT
03:26.30,03:26.98,PERFECT
03:26.98,03:27.49,OK
03:27.49,03:27.92,OK
03:27.92,03:28.93,GOOD
03:28.93,03:29.97,OK
03:29.97,03:31.10,GOOD
03:31.10,03:32.73,YEAH
