start_time,end_time,score,
02:49.89,02:52.76,YEAH,v
02:52.76,02:53.83,PERFECT,v
02:53.83,02:54.82,PERFECT,v
02:54.82,02:55.86,PERFECT,v
02:55.86,02:56.96,PERFECT,v
02:56.96,02:57.99,PERFECT,v
02:57.99,02:59.14,PERFECT,v
02:59.14,03:00.77,PERFECT,v
03:00.77,03:02.12,PERFECT,v
03:02.12,03:03.21,PERFECT,v
03:03.21,03:05.13,PERFECT,v
03:05.13,03:06.84,PERFECT,v
03:06.84,03:07.36,OK,x
03:07.36,03:07.87,GOOD,v
03:07.87,03:09.11,PERFECT,v
03:09.11,03:11.51,PERFECT,v
03:11.51,03:12.08,PERFECT,v
03:12.08,03:13.21,GOOD,v
03:13.21,03:15.64,GOOD,v
03:15.64,03:16.12,PERFECT,v
03:16.12,03:17.34,PERFECT,v
03:17.34,03:19.71,PERFECT,v
03:19.71,03:20.32,PERFECT,v
03:20.32,03:21.39,PERFECT,v
03:25.00,03:27.45,YEAH,v
03:29.30,03:31.03,GOOD,v
03:31.03,03:31.53,PERFECT,v
03:31.53,03:32.13,PERFECT,v
03:32.13,03:33.20,PERFECT,v
